,ds,y,y_orig
1,1996-05-01,12.255814737424988,210200.0
2,1996-06-01,12.261980277468469,211500.0
3,1996-07-01,12.268108036449627,212800.0
4,1996-08-01,12.273731294003989,214000.0
5,1996-09-01,12.279323107269766,215200.0
6,1996-10-01,12.28442161194115,216300.0
7,1996-11-01,12.288573867041917,217200.0
8,1996-12-01,12.292250341771226,218000.0
9,1997-01-01,12.294541293517781,218500.0
10,1997-02-01,12.294998854724575,218600.0
11,1997-03-01,12.29545620666486,218700.0
12,1997-04-01,12.297739834055998,219200.0
13,1997-05-01,12.301382825334498,220000.0
14,1997-06-01,12.306822548630317,221200.0
15,1997-07-01,12.314029787035267,222800.0
16,1997-08-01,12.322521458173421,224700.0
17,1997-09-01,12.33314572809365,227100.0
18,1997-10-01,12.344964644396793,229800.0
19,1997-11-01,12.358364455872433,232900.0
20,1997-12-01,12.373703486914124,236500.0
21,1998-01-01,12.388810782209344,240100.0
22,1998-02-01,12.401228160304214,243100.0
23,1998-03-01,12.412273476114072,245800.0
24,1998-04-01,12.421587169679892,248100.0
25,1998-05-01,12.429616116865711,250100.0
26,1998-06-01,12.436390400592384,251800.0
27,1998-07-01,12.442329835989767,253300.0
28,1998-08-01,12.448626590364206,254900.0
29,1998-09-01,12.456442183097975,256900.0
30,1998-10-01,12.465355243460257,259200.0
31,1998-11-01,12.476481389311498,262100.0
32,1998-12-01,12.489746696584415,265600.0
33,1999-01-01,12.50358127879969,269300.0
34,1999-02-01,12.517593307461796,273100.0
35,1999-03-01,12.532494546297885,277200.0
36,1999-04-01,12.548597953864464,281700.0
37,1999-05-01,12.565144714068628,286400.0
38,1999-06-01,12.580734844483294,290900.0
39,1999-07-01,12.593713168725786,294700.0
40,1999-08-01,12.604177399232046,297800.0
41,1999-09-01,12.6112043647371,299900.0
42,1999-10-01,12.615197714469826,301100.0
43,1999-11-01,12.616856915115939,301600.0
44,1999-12-01,12.617188425147152,301700.0
45,2000-01-01,12.616193565174532,301400.0
46,2000-02-01,12.61386836897662,300700.0
47,2000-03-01,12.611537753638338,300000.0
48,2000-04-01,12.60920169384079,299300.0
49,2000-05-01,12.607529732240799,298800.0
50,2000-06-01,12.604848765487542,298000.0
51,2000-07-01,12.599802497419917,296500.0
52,2000-08-01,12.591335046320818,294000.0
53,2000-09-01,12.580047086546967,290700.0
54,2000-10-01,12.56584279437621,286600.0
55,2000-11-01,12.549307677102204,281900.0
56,2000-12-01,12.530689165775017,276700.0
57,2001-01-01,12.510980498647022,271300.0
58,2001-02-01,12.490875577231112,265900.0
59,2001-03-01,12.471509109034635,260800.0
60,2001-04-01,12.454494004028652,256400.0
61,2001-05-01,12.441539946533215,253100.0
62,2001-06-01,12.432012284146385,250700.0
63,2001-07-01,12.424806488355683,248900.0
64,2001-08-01,12.420377248177179,247800.0
65,2001-09-01,12.417953004565673,247200.0
66,2001-10-01,12.417143615610113,247000.0
67,2001-11-01,12.417143615610113,247000.0
68,2001-12-01,12.417953004565673,247200.0
69,2002-01-01,12.418357453509508,247300.0
70,2002-02-01,12.418761738940525,247400.0
71,2002-03-01,12.419973615477451,247700.0
72,2002-04-01,12.423600458058747,248600.0
73,2002-05-01,12.429616116865711,250100.0
74,2002-06-01,12.436787462340702,251900.0
75,2002-07-01,12.44469576769277,253900.0
76,2002-08-01,12.451369001485517,255600.0
77,2002-09-01,12.45722039325398,257100.0
78,2002-10-01,12.462650972930621,258500.0
79,2002-11-01,12.464197165739629,258900.0
80,2002-12-01,12.464583340681674,259000.0
81,2003-01-01,12.468821451436742,260100.0
82,2003-02-01,12.478387240850832,262600.0
83,2003-03-01,12.488993400880243,265400.0
84,2003-04-01,12.499861036413716,268300.0
85,2003-05-01,12.509505028073187,270900.0
86,2003-06-01,12.517959406678772,273200.0
87,2003-07-01,12.525616691130699,275300.0
88,2003-08-01,12.532494546297885,277200.0
89,2003-09-01,12.53860857361558,278900.0
90,2003-10-01,12.54361573715288,280300.0
91,2003-11-01,12.547887726561882,281500.0
92,2003-12-01,12.551079784601225,282400.0
93,2004-01-01,12.552141543681682,282700.0
94,2004-02-01,12.551079784601225,282400.0
95,2004-03-01,12.55037131840085,282200.0
96,2004-04-01,12.552141543681682,282700.0
97,2004-05-01,12.55708156784228,284100.0
98,2004-06-01,12.565144714068628,286400.0
99,2004-07-01,12.574527928004438,289100.0
100,2004-08-01,12.583823915070822,291800.0
101,2004-09-01,12.592694665836857,294400.0
102,2004-10-01,12.601487417784837,297000.0
103,2004-11-01,12.610870864650634,299800.0
104,2004-12-01,12.622477693676672,303300.0
105,2005-01-01,12.636555516613626,307600.0
106,2005-02-01,12.652359748158593,312500.0
107,2005-03-01,12.667602977571287,317300.0
108,2005-04-01,12.675451079381991,319800.0
109,2005-05-01,12.672632852998149,318900.0
110,2005-06-01,12.661913960963405,315500.0
111,2005-07-01,12.648833538382036,311400.0
112,2005-08-01,12.635254280255655,307200.0
113,2005-09-01,12.622807345896568,303400.0
114,2005-10-01,12.611871031428459,300100.0
115,2005-11-01,12.6018240614507,297100.0
116,2005-12-01,12.591675124542087,294100.0
117,2006-01-01,12.581422129733715,291100.0
118,2006-02-01,12.572450364930292,288500.0
119,2006-03-01,12.567237494741757,287000.0
120,2006-04-01,12.56584279437621,286600.0
121,2006-05-01,12.567934116156206,287200.0
122,2006-06-01,12.571409962547559,288200.0
123,2006-07-01,12.575219490964226,289300.0
124,2006-08-01,12.579358855274103,290500.0
125,2006-09-01,12.585535951099338,292300.0
126,2006-10-01,12.596085649079416,295400.0
127,2006-11-01,12.612204198181498,300200.0
128,2006-12-01,12.634277240607828,306900.0
129,2007-01-01,12.654597243098785,313200.0
130,2007-02-01,12.667602977571287,317300.0
131,2007-03-01,12.673259812266334,319100.0
132,2007-04-01,12.67357314455779,319200.0
133,2007-05-01,12.667918087074446,317400.0
134,2007-06-01,12.661596953511076,315400.0
135,2007-07-01,12.658103222785659,314300.0
136,2007-08-01,12.658421339537188,314400.0
137,2007-09-01,12.660962636965861,315200.0
138,2007-10-01,12.664762514875635,316400.0
139,2007-11-01,12.668548008355117,317600.0
140,2007-12-01,12.671377753994355,318500.0
141,2008-01-01,12.670435394885823,318200.0
142,2008-02-01,12.666657052859417,317000.0
143,2008-03-01,12.66539442642905,316600.0
144,2008-04-01,12.666341545679012,316900.0
145,2008-05-01,12.66444640929374,316300.0
146,2008-06-01,12.66286438080368,315800.0
147,2008-07-01,12.667918087074446,317400.0
